name	sample_id	aliquot_id
RNAseq_wf_TCGA-DQ-7591-01A-11R-2081-07	TCGA-DQ-7591-01A	TCGA-DQ-7591-01A-11R-2081-07
RNAseq_wf_TCGA-DQ-7592-01A-11R-2081-07	TCGA-DQ-7592-01A	TCGA-DQ-7592-01A-11R-2081-07
RNAseq_wf_TCGA-BQ-7050-01A-11R-1965-07	TCGA-BQ-7050-01A	TCGA-BQ-7050-01A-11R-1965-07
RNAseq_wf_TCGA-BQ-7051-01A-12R-1965-07	TCGA-BQ-7051-01A	TCGA-BQ-7051-01A-12R-1965-07
RNAseq_wf_TCGA-DW-7839-01A-11R-2139-07	TCGA-DW-7839-01A	TCGA-DW-7839-01A-11R-2139-07
RNAseq_wf_TCGA-P4-A5EB-01A-11R-A28H-07	TCGA-P4-A5EB-01A	TCGA-P4-A5EB-01A-11R-A28H-07
RNAseq_wf_TCGA-P4-AAVM-01A-11R-A42S-07	TCGA-P4-AAVM-01A	TCGA-P4-AAVM-01A-11R-A42S-07
RNAseq_wf_TCGA-PJ-A5Z8-01A-11R-A28H-07	TCGA-PJ-A5Z8-01A	TCGA-PJ-A5Z8-01A-11R-A28H-07
RNAseq_wf_TCGA-Q2-A5QZ-01A-11R-A28H-07	TCGA-Q2-A5QZ-01A	TCGA-Q2-A5QZ-01A-11R-A28H-07
RNAseq_wf_TCGA-SX-A7SO-01A-11R-A355-07	TCGA-SX-A7SO-01A	TCGA-SX-A7SO-01A-11R-A355-07
RNAseq_wf_TCGA-UZ-A9PN-01A-11R-A38C-07	TCGA-UZ-A9PN-01A	TCGA-UZ-A9PN-01A-11R-A38C-07
RNAseq_wf_TCGA-QH-A6CV-01A-11R-A31N-07	TCGA-QH-A6CV-01A	TCGA-QH-A6CV-01A-11R-A31N-07
RNAseq_wf_TCGA-QH-A6CW-01A-11R-A32Q-07	TCGA-QH-A6CW-01A	TCGA-QH-A6CW-01A-11R-A32Q-07
RNAseq_wf_TCGA-QH-A6CX-01A-11R-A32Q-07	TCGA-QH-A6CX-01A	TCGA-QH-A6CX-01A-11R-A32Q-07
RNAseq_wf_TCGA-QH-A6X9-01A-12R-A32Q-07	TCGA-QH-A6X9-01A	TCGA-QH-A6X9-01A-12R-A32Q-07
RNAseq_wf_TCGA-QH-A6XC-01A-12R-A32Q-07	TCGA-QH-A6XC-01A	TCGA-QH-A6XC-01A-12R-A32Q-07
RNAseq_wf_TCGA-R8-A6MK-01A-11R-A32Q-07	TCGA-R8-A6MK-01A	TCGA-R8-A6MK-01A-11R-A32Q-07
RNAseq_wf_TCGA-RY-A83Z-01A-11R-A36H-07	TCGA-RY-A83Z-01A	TCGA-RY-A83Z-01A-11R-A36H-07
RNAseq_wf_TCGA-S9-A6TS-01A-12R-A33Z-07	TCGA-S9-A6TS-01A	TCGA-S9-A6TS-01A-12R-A33Z-07
RNAseq_wf_TCGA-S9-A6TU-01A-12R-A32Q-07	TCGA-S9-A6TU-01A	TCGA-S9-A6TU-01A-12R-A32Q-07
RNAseq_wf_TCGA-FV-A496-01A-11R-A266-07	TCGA-FV-A496-01A	TCGA-FV-A496-01A-11R-A266-07
RNAseq_wf_TCGA-FV-A4ZP-01A-12R-A266-07	TCGA-FV-A4ZP-01A	TCGA-FV-A4ZP-01A-12R-A266-07
RNAseq_wf_TCGA-FV-A4ZQ-01A-11R-A266-07	TCGA-FV-A4ZQ-01A	TCGA-FV-A4ZQ-01A-11R-A266-07
RNAseq_wf_TCGA-G3-A25U-01A-11R-A16W-07	TCGA-G3-A25U-01A	TCGA-G3-A25U-01A-11R-A16W-07
RNAseq_wf_TCGA-G3-A25X-01A-11R-A16W-07	TCGA-G3-A25X-01A	TCGA-G3-A25X-01A-11R-A16W-07
RNAseq_wf_TCGA-G3-A25Y-01A-11R-A16W-07	TCGA-G3-A25Y-01A	TCGA-G3-A25Y-01A-11R-A16W-07
RNAseq_wf_TCGA-G3-A3CG-01A-11R-A213-07	TCGA-G3-A3CG-01A	TCGA-G3-A3CG-01A-11R-A213-07
RNAseq_wf_TCGA-G3-A3CH-01A-11R-A22L-07	TCGA-G3-A3CH-01A	TCGA-G3-A3CH-01A-11R-A22L-07
RNAseq_wf_TCGA-G3-A3CI-01A-11R-A213-07	TCGA-G3-A3CI-01A	TCGA-G3-A3CI-01A-11R-A213-07
RNAseq_wf_TCGA-78-7539-01A-11R-2066-07	TCGA-78-7539-01A	TCGA-78-7539-01A-11R-2066-07
RNAseq_wf_TCGA-93-A4JN-01A-11R-A24X-07	TCGA-93-A4JN-01A	TCGA-93-A4JN-01A-11R-A24X-07
RNAseq_wf_TCGA-MP-A4TK-01A-11R-A24X-07	TCGA-MP-A4TK-01A	TCGA-MP-A4TK-01A-11R-A24X-07
RNAseq_wf_TCGA-MP-A5C7-01A-11R-A262-07	TCGA-MP-A5C7-01A	TCGA-MP-A5C7-01A-11R-A262-07
RNAseq_wf_TCGA-NJ-A4YF-01A-12R-A262-07	TCGA-NJ-A4YF-01A	TCGA-NJ-A4YF-01A-12R-A262-07
RNAseq_wf_TCGA-LA-A7SW-01A-11R-A405-07	TCGA-LA-A7SW-01A	TCGA-LA-A7SW-01A-11R-A405-07
RNAseq_wf_TCGA-NC-A5HD-01A-11R-A26W-07	TCGA-NC-A5HD-01A	TCGA-NC-A5HD-01A-11R-A26W-07
RNAseq_wf_TCGA-NC-A5HE-01A-11R-A26W-07	TCGA-NC-A5HE-01A	TCGA-NC-A5HE-01A-11R-A26W-07
RNAseq_wf_TCGA-NC-A5HF-01A-11R-A26W-07	TCGA-NC-A5HF-01A	TCGA-NC-A5HF-01A-11R-A26W-07
RNAseq_wf_TCGA-NC-A5HK-01A-11R-A26W-07	TCGA-NC-A5HK-01A	TCGA-NC-A5HK-01A-11R-A26W-07
RNAseq_wf_TCGA-NC-A5HL-01A-11R-A26W-07	TCGA-NC-A5HL-01A	TCGA-NC-A5HL-01A-11R-A26W-07
RNAseq_wf_TCGA-NC-A5HM-01A-12R-A26W-07	TCGA-NC-A5HM-01A	TCGA-NC-A5HM-01A-12R-A26W-07
RNAseq_wf_TCGA-NC-A5HN-01A-11R-A26W-07	TCGA-NC-A5HN-01A	TCGA-NC-A5HN-01A-11R-A26W-07
RNAseq_wf_TCGA-36-1571-01A-01R-1566-13	TCGA-36-1571-01A	TCGA-36-1571-01A-01R-1566-13
RNAseq_wf_TCGA-61-1733-01A-01R-1567-13	TCGA-61-1733-01A	TCGA-61-1733-01A-01R-1567-13
